,store_of_value,medium_of_exchange,smart_contracts,defi,governance,scalability,privacy,interoperability,data_storage,oracle
AAVE,0.043363663836624815,0.29473061431103525,0.12734596617114594,0.2127011544683222,0.040790971881653745,0.05601165268128283,0.03855525061882441,0.047321196434841756,0.07630485643111061,0.06287467316515838
ADA,0.05305982828919192,0.24078158100342809,0.09831268020794479,0.093517989793008,0.04321231256342042,0.08531879908904084,0.07661168286958756,0.04979068684170196,0.20619485613201144,0.05319958321066503
ALGO,0.047186490691529456,0.22505889811152582,0.12613591901553464,0.07993443810876605,0.039004603723868644,0.10888513274703952,0.09557797390312488,0.06239487033920857,0.15068862390081628,0.06513304945858625
API3,0.05253321778214966,0.19668911215951604,0.10816938716268558,0.07517351625668726,0.06289476118368267,0.08678363914913768,0.062086611028863356,0.0737581170670271,0.08465249824887125,0.19725913996137925
APT,0.057764899491646655,0.21535866023745845,0.09084862998117849,0.07942508919895044,0.029245434603813337,0.18364916671764195,0.04681091467009528,0.054429725132606785,0.1989710074990563,0.0434964724675523
ARB,0.04693039866492865,0.21257484719557934,0.1249220994255176,0.09193822069868915,0.024971135056544008,0.11212137627455507,0.035013866471787364,0.09763876048596419,0.20162377133922907,0.052265524387205664
ATOM,0.052409554596650886,0.24633696602645497,0.0832391392937171,0.09283303100407028,0.04437795600939664,0.12925453043752447,0.04787578072272029,0.10665605555794556,0.15602558623796642,0.04099140011355351
AVAX,0.07055274064948659,0.27093509862332427,0.08259896419636234,0.09573811651273934,0.04231902423361411,0.16698969839806857,0.06544866597953208,0.05511581765222642,0.11027972420797257,0.04002214954667375
BAND,0.053646953841433524,0.2501387465150266,0.16688162801451661,0.11132426210634966,0.05149621823044371,0.114237743977129,0.03515977782639643,0.038159954025424984,0.15200082411114318,0.026953891352136296
BTC,0.07041959951243715,0.3276183791974509,0.04918306347598176,0.09798562844964621,0.021722445602547987,0.08504329469130092,0.07820107089905194,0.03980545790718527,0.1827992752421953,0.047221785022202624
COMP,0.04014772350092622,0.3508807412842981,0.11409662065429874,0.25350299836890905,0.02047855123942142,0.046933023900233635,0.01803350435177172,0.05385033741515277,0.052919432521274734,0.04915706676371367
CRV,0.032995594664499736,0.3777287537135306,0.0896317708902594,0.16419242598037345,0.01789132937810003,0.10872825852293781,0.025661390162273,0.0727302655130668,0.044159792295207376,0.06628041887975189
DOT,0.04529986542511228,0.2469260446045521,0.0950533569378096,0.0964941353251443,0.03313542547024086,0.12301603898050496,0.04890668068655919,0.10269503770000418,0.15574926664939287,0.05272414822067961
EGLD,0.052803399264463716,0.19787825389386665,0.10722981512241825,0.07173670554581858,0.027766853004821776,0.1857686006353394,0.0644192129423719,0.0617874488886722,0.18252494641879324,0.04808476428343429
ENJ,0.08701872975494893,0.26032959633298064,0.108829744700386,0.1169197456081707,0.02227135110635922,0.09448522266909316,0.06011443274714421,0.08314152110509035,0.11077546614036975,0.05611418983545703
ETH,0.05318436872945702,0.29187447477102735,0.1419569644148213,0.0850165274307291,0.03537972659691745,0.09789339904025322,0.0519410602250994,0.043619609227976384,0.15660519484624086,0.04252867471747788
FIL,0.058132262620150726,0.22798223854249924,0.09212219640733356,0.09896612363857588,0.022664704849143562,0.08673864190561598,0.05311954285070301,0.06389901066465382,0.25024920653133226,0.04612607198999193
FTM,0.05145911925814893,0.19826740899774525,0.14385786849253834,0.11161649455488455,0.029232809910036385,0.1426086561228077,0.04500739671669066,0.07353009579283858,0.14946215637411311,0.05495799378019643
GRT,0.06794367698583445,0.23017832423437087,0.052910710519944545,0.06144867291931726,0.05212821209625199,0.13173738581397254,0.07402653912384655,0.07277417075555126,0.21131797754703507,0.04553433000387538
