,store_of_value,medium_of_exchange,smart_contracts,defi,governance,scalability,privacy,interoperability,data_storage,oracle
AAVE,0.09729745239019394,0.10683059692382812,0.08581877499818802,0.22770699858665466,0.11512965708971024,0.08030925691127777,0.05833936110138893,0.09269317239522934,0.059322256594896317,0.07655250281095505
ADA,0.06377513706684113,0.064536914229393,0.11691781133413315,0.11863428354263306,0.12173272669315338,0.09791744500398636,0.144243061542511,0.09506180137395859,0.07995616644620895,0.09722469002008438
ALGO,0.05045963451266289,0.07404188811779022,0.12364833801984787,0.1209535300731659,0.10691586881875992,0.10924740135669708,0.16639627516269684,0.10281488299369812,0.06044645980000496,0.085075743496418
API3,0.06206502392888069,0.06251467019319534,0.10979229211807251,0.12239852547645569,0.11799060553312302,0.097182996571064,0.09574472159147263,0.09490863233804703,0.08319658786058426,0.15420597791671753
APT,0.06869329512119293,0.08036957681179047,0.11490835249423981,0.11055102944374084,0.10925834625959396,0.11458767205476761,0.10558848083019257,0.10542984306812286,0.0984019786119461,0.09221143275499344
ARB,0.045767586678266525,0.06445946544408798,0.1091206818819046,0.11087234318256378,0.09718351066112518,0.12671582400798798,0.1189376711845398,0.13450388610363007,0.0736207515001297,0.1188182607293129
ATOM,0.06413030624389648,0.08252203464508057,0.09028041362762451,0.1286175400018692,0.1276988387107849,0.12334214150905609,0.09161971509456635,0.1411292403936386,0.08042304217815399,0.0702366903424263
AVAX,0.07893045991659164,0.06986043602228165,0.10291978716850281,0.11893521249294281,0.11761660128831863,0.11974816024303436,0.11314485967159271,0.10440196096897125,0.09074557572603226,0.08369694650173187
BAND,0.07171498239040375,0.0823974460363388,0.10740353167057037,0.12544552981853485,0.14025576412677765,0.10375057905912399,0.08987443149089813,0.10538624227046967,0.08163297921419144,0.09213852137327194
BTC,0.08344505727291107,0.10526490211486816,0.1082993745803833,0.10590256750583649,0.08955938369035721,0.10375462472438812,0.14409491419792175,0.08795326203107834,0.0882938802242279,0.08343209326267242
COMP,0.12294517457485199,0.12380991876125336,0.09591817855834961,0.17790460586547852,0.1078513041138649,0.07303154468536377,0.08543350547552109,0.0794699639081955,0.06907965987920761,0.06455612927675247
CRV,0.16284406185150146,0.08155106753110886,0.08197745680809021,0.19264674186706543,0.0625036433339119,0.10400908440351486,0.07994867861270905,0.08440159261226654,0.04053248092532158,0.10958513617515564
DOT,0.05760258063673973,0.07672804594039917,0.098026342689991,0.11829180270433426,0.13227765262126923,0.12096285074949265,0.1051473394036293,0.12746286392211914,0.08161897957324982,0.08188150823116302
EGLD,0.05670790374279022,0.06935890763998032,0.10483755171298981,0.11828718334436417,0.10487204045057297,0.14413070678710938,0.1201322004199028,0.11056403815746307,0.0902949869632721,0.080814428627491
ENJ,0.10973787307739258,0.12214962393045425,0.09556671977043152,0.11440820246934891,0.10207924991846085,0.08713700622320175,0.10449657589197159,0.08134108036756516,0.07460232824087143,0.10848139971494675
ETH,0.08964826166629791,0.10122301429510117,0.13105520606040955,0.11666039377450943,0.11051074415445328,0.08959012478590012,0.11253026872873306,0.07741523534059525,0.0945335328578949,0.07683316618204117
FIL,0.07548818737268448,0.08602089434862137,0.10567255318164825,0.11185790598392487,0.09194327145814896,0.10159698873758316,0.12171345949172974,0.09078405797481537,0.12012849748134613,0.09479418396949768
FTM,0.059540875256061554,0.08773248642683029,0.11826834827661514,0.10598952323198318,0.11043393611907959,0.10965339094400406,0.1047292947769165,0.1085013672709465,0.08817512542009354,0.10697569698095322
GRT,0.05512961000204086,0.07466313242912292,0.10503748804330826,0.10830862820148468,0.1025230884552002,0.11311474442481995,0.09591857343912125,0.11809175461530685,0.10663857311010361,0.1205744594335556
HBAR,0.08836860209703445,0.08552612364292145,0.12618952989578247,0.12309760600328445,0.10670335590839386,0.08592074364423752,0.11220689862966537,0.09100382030010223,0.09943220019340515,0.08155115693807602
ICP,0.05005018785595894,0.0588500015437603,0.10464777797460556,0.10755623877048492,0.1138557642698288,0.1298169195652008,0.11092158406972885,0.13832297921180725,0.09018898010253906,0.09578955173492432
IMX,0.10556524246931076,0.07778643816709518,0.11377941817045212,0.12945254147052765,0.10538344830274582,0.08514683693647385,0.10797441005706787,0.09358108043670654,0.08748670667409897,0.09384383261203766
LDO,0.09253444522619247,0.08139549195766449,0.09077572077512741,0.158095121383667,0.14149592816829681,0.0924791693687439,0.09179091453552246,0.08462285995483398,0.07702518254518509,0.0897851288318634
LINK,0.05039976164698601,0.04982193931937218,0.13106490671634674,0.10276618599891663,0.09604004770517349,0.10034786909818649,0.13116097450256348,0.10513479262590408,0.0794980525970459,0.15376536548137665
LPT,0.05539817735552788,0.09854038804769516,0.08535277843475342,0.12080180644989014,0.12097280472517014,0.13181839883327484,0.09259861707687378,0.10373285412788391,0.08789466321468353,0.10288942605257034
MANA,0.08517380803823471,0.10423968732357025,0.10334581881761551,0.12973378598690033,0.10780415683984756,0.09267914295196533,0.10396220535039902,0.08861664682626724,0.10905344039201736,0.07539131492376328
MKR,0.10338210314512253,0.08971269428730011,0.10514973104000092,0.18373771011829376,0.15070126950740814,0.06557712703943253,0.0763045996427536,0.06909005343914032,0.059467166662216187,0.09687750041484833
NEAR,0.08133473992347717,0.07673370838165283,0.10881416499614716,0.11999914795160294,0.11971460282802582,0.11636798828840256,0.09546945244073868,0.09238865971565247,0.09753639250993729,0.09164115786552429
OCEAN,0.08407053351402283,0.07306815683841705,0.09648390114307404,0.12028595805168152,0.11400031298398972,0.08120877295732498,0.09762120991945267,0.09780581295490265,0.11391551792621613,0.12153979390859604
OP,0.10088541358709335,0.08619672060012817,0.1086350753903389,0.13971549272537231,0.12068738788366318,0.07540740817785263,0.11129456013441086,0.07975653558969498,0.07836944609880447,0.09905188530683517
POL,0.08149726688861847,0.07175609469413757,0.1027844026684761,0.13110430538654327,0.14295722544193268,0.10375997424125671,0.09543734043836594,0.0994940996170044,0.08545441925525665,0.08575499057769775
RENDER,0.07051628082990646,0.07001736015081406,0.1055869534611702,0.12235744297504425,0.10480234026908875,0.1473732590675354,0.08039575815200806,0.10391177982091904,0.0782141238451004,0.11682482063770294
RPL,0.06511124968528748,0.07623284310102463,0.0943119078874588,0.13654905557632446,0.13417768478393555,0.13032956421375275,0.08231901377439499,0.09839610755443573,0.07217708230018616,0.11039552092552185
SAND,0.12015450745820999,0.10450123250484467,0.10514039546251297,0.12492072582244873,0.11183436959981918,0.08212261646986008,0.08879470825195312,0.07104882597923279,0.1007336899638176,0.09074897319078445
SC,0.09050248563289642,0.08665667474269867,0.11049247533082962,0.11260665208101273,0.08663789927959442,0.10904531925916672,0.12195936590433121,0.07777004688978195,0.11321517080068588,0.09111388027667999
SNX,0.11782977730035782,0.10069505870342255,0.08821456134319305,0.16755256056785583,0.10618402063846588,0.09412667900323868,0.09759350121021271,0.07956826686859131,0.059765469282865524,0.08847007900476456
SOL,0.07109490782022476,0.04915954917669296,0.1024705022573471,0.10097581893205643,0.10138043016195297,0.13377200067043304,0.12187496572732925,0.10989737510681152,0.10133722424507141,0.10803726315498352
