,store_of_value,medium_of_exchange,smart_contracts,defi,governance,scalability,privacy,interoperability,data_storage,oracle
AAVE,0.006486286137879911,0.08988139362490734,0.31152705707931805,0.2603780578206078,0.06578947368421054,0.10192735359525575,0.0,0.03335804299481098,0.07134914751667902,0.059303187546330606
ADA,0.10006901311249136,0.13802622498274678,0.17667356797791592,0.07591442374051072,0.07591442374051073,0.2884748102139405,0.029675638371290558,0.06970324361628712,0.02070393374741202,0.024844720496894422
ALGO,0.030825845918562418,0.16416555151978598,0.2250525712100936,0.04898680940546741,0.05711145096539858,0.26022748996367806,0.058306251194800214,0.062129611928885484,0.02341808449627222,0.06977633339705601
API3,0.03733766233766234,0.06858766233766232,0.10186688311688306,0.12418831168831175,0.14285714285714288,0.11201298701298698,0.05641233766233766,0.12134740259740263,0.04423701298701297,0.1911525974025973
APT,0.06687009024216062,0.11491267934817892,0.15646302668311368,0.08115302213854446,0.11264039472829969,0.24917223917418685,0.029864312146984342,0.08310069466986952,0.07206388365902745,0.03375965720963448
ARB,0.02926337033299697,0.09485368314833499,0.231079717457114,0.0938446014127144,0.07063572149344095,0.20585267406659938,0.029263370332996978,0.09687184661957618,0.08779011099899092,0.06054490413723512
ATOM,0.06419939577039274,0.13444108761329307,0.061178247734138956,0.06646525679758306,0.1389728096676737,0.28927492447129904,0.026435045317220542,0.1933534743202417,0.01963746223564954,0.006042296072507552
AVAX,0.0753532182103611,0.185243328100471,0.1271585557299843,0.06279434850863425,0.1475667189952904,0.2668759811616955,0.007849293563579279,0.09890109890109892,0.014128728414442706,0.014128728414442702
BAND,0.0748129675810474,0.1296758104738154,0.27182044887780543,0.052369077306733174,0.06483790523690772,0.2144638403990025,0.0,0.03241895261845386,0.15960099750623438,0.0
BTC,0.12195121951219513,0.3441734417344174,0.10298102981029811,0.029810298102981036,0.02981029810298103,0.18970189701897022,0.1219512195121951,0.04065040650406504,0.018970189701897018,0.0
COMP,0.08,0.0725,0.1725,0.2900000000000001,0.0675,0.15250000000000002,0.01,0.057499999999999996,0.01,0.0875
CRV,0.07045454545454545,0.16363636363636366,0.12954545454545455,0.1613636363636364,0.08863636363636365,0.12500000000000003,0.034090909090909095,0.1090909090909091,0.05000000000000001,0.06818181818181819
DOT,0.050351288056206076,0.08957845433255268,0.1346604215456675,0.06791569086651054,0.08313817330210771,0.2605386416861826,0.028688524590163945,0.20316159250585486,0.037470725995316166,0.044496487119437954
EGLD,0.02956604673342872,0.10872675250357654,0.16976633285646162,0.07629947544110635,0.035288507391511695,0.3285646161182642,0.02288984263233191,0.14496900333810206,0.0715307582260372,0.012398664759179785
ENJ,0.17411764705882354,0.20941176470588227,0.28470588235294103,0.06823529411764705,0.02352941176470588,0.1576470588235294,0.007058823529411764,0.06117647058823529,0.007058823529411764,0.007058823529411764
ETH,0.06985617845611976,0.14440857058996182,0.1816847666568829,0.10625183445846786,0.0733783387144115,0.13560316994423255,0.041091869680070434,0.08453184619900207,0.0892280598767244,0.07396536542412681
FIL,0.06336681013868961,0.08464849354375895,0.12117407938785273,0.084947393591583,0.03030846484935438,0.1889048302247728,0.02415112386417983,0.05224772835963654,0.3153993304638928,0.03485174557627929
FTM,0.05450141299959631,0.14735567218409368,0.2321356479612434,0.07973354864755744,0.04844570044408556,0.2356681469519582,0.021194993944287446,0.08276140492531284,0.06994348001614857,0.028259991925716592
GRT,0.07849829351535838,0.1348122866894198,0.11774744027303753,0.08873720136518773,0.12798634812286688,0.13310580204778155,0.017064846416382253,0.174061433447099,0.07679180887372014,0.05119453924914677
HBAR,0.125,0.1875,0.0625,0.0,0.3125,0.25,0.0,0.0625,0.0,0.0
ICP,0.016616314199395767,0.08027621924902893,0.18299525248165752,0.0722917565817868,0.10336642209753989,0.25183426845058243,0.051359516616314195,0.10617177384548988,0.08631851532153643,0.04876996115666809
IMX,0.10121457489878542,0.16329284750337378,0.1943319838056681,0.0512820512820513,0.08636977058029689,0.18893387314439938,0.028340080971659926,0.10931174089068828,0.06072874493927124,0.016194331983805665
LDO,0.09883720930232559,0.1744186046511628,0.16279069767441862,0.20930232558139536,0.15116279069767447,0.16279069767441862,0.0,0.040697674418604654,0.0,0.0
LINK,0.007965686274509807,0.04044117647058824,0.209558823529412,0.06862745098039219,0.03737745098039218,0.10477941176470588,0.07843137254901962,0.0784313725490196,0.004289215686274511,0.3700980392156861
LPT,0.049404761904761896,0.08333333333333334,0.15446428571428572,0.12559523809523807,0.08749999999999997,0.15535714285714286,0.04285714285714285,0.08630952380952382,0.1169642857142857,0.09821428571428571
MANA,0.1223529411764706,0.1929411764705882,0.23529411764705885,0.0847058823529412,0.03529411764705883,0.13176470588235295,0.0,0.07058823529411766,0.12705882352941175,0.0
MKR,0.11557788944723621,0.09924623115577888,0.19472361809045222,0.19221105527638196,0.14698492462311558,0.07286432160804018,0.020100502512562818,0.03894472361809046,0.01256281407035176,0.10678391959798997
NEAR,0.0897119341563785,0.13635116598079566,0.15500685871056236,0.07078189300411517,0.11083676268861463,0.2227709190672155,0.02606310013717419,0.062277091906721434,0.10589849108367634,0.02030178326474622
OCEAN,0.07967269595176571,0.09646856158484064,0.10422049956933677,0.10938845822566752,0.10637381567614125,0.08484065460809648,0.10120585701981055,0.11800172265288543,0.15159345391903528,0.04823428079242032
OP,0.04541633772351425,0.16905387198901514,0.1619974492683367,0.12086000617331895,0.17461523391283126,0.18812973974847041,0.0,0.13992736118451335,0.0,0.0
POL,0.14879852125693163,0.09242144177449167,0.12939001848428835,0.0646950092421442,0.17190388170055448,0.26062846580406657,0.011090573012939005,0.10166358595194082,0.008317929759704253,0.011090573012939005
RENDER,0.1273209549071618,0.17506631299734746,0.2732095490716181,0.0477453580901857,0.08753315649867374,0.20954907161803715,0.0,0.07957559681697617,0.0,0.0
RPL,0.08655126498002663,0.0892143808255659,0.20905459387483352,0.1318242343541944,0.15312916111850866,0.17576564580559256,0.029294274300932094,0.0692410119840213,0.019973368841544607,0.03595206391478029
SAND,0.11132201875837423,0.24564537740062523,0.19160339437248772,0.11712818222420719,0.1013845466726218,0.07905314872711029,0.008932559178204557,0.09803483698079503,0.03014738722644038,0.016748548459133542
SC,0.11988716502115654,0.09732016925246828,0.1875881523272214,0.040902679830747524,0.014104372355430184,0.1297602256699577,0.0,0.014104372355430184,0.3963328631875882,0.0
SNX,0.2034068136272546,0.26853707414829664,0.1723446893787575,0.19939879759519027,0.053106212424849725,0.08617234468937882,0.0,0.017034068136272545,0.0,0.0
SOL,0.03472222222222223,0.10416666666666662,0.1953125,0.047743055555555546,0.03298611111111112,0.42534722222222215,0.026909722222222224,0.046006944444444454,0.0390625,0.04774305555555556
STORJ,0.05650557620817841,0.10136307311028513,0.05700123915737299,0.0265179677819083,0.03667905824039653,0.22577447335811665,0.08228004956629496,0.06270136307311026,0.3491945477075587,0.0019826517967781914
SUI,0.09389386963896292,0.10298037315241096,0.16416283014296099,0.06784589290041193,0.09298521928761815,0.19463290525805665,0.033922946450205965,0.09934577174703176,0.11933607947661744,0.030894111945723293
TRB,0.0,0.010752688172043012,0.08602150537634409,0.13978494623655915,0.10752688172043011,0.18279569892473121,0.0,0.08602150537634409,0.0,0.38709677419354843
UNI,0.009342730699885267,0.09539419767251271,0.27929847565972793,0.1824291099819702,0.059006720209801675,0.1221111293230618,0.01311260449106704,0.07621701360432716,0.037698737911817735,0.1253892804458286
XMR,0.04282315622521809,0.1998413957176844,0.12371134020618557,0.05551149881046788,0.05075337034099922,0.20459952418715308,0.23869944488501194,0.06819984139571769,0.011102299762093579,0.004758128469468677
ZEC,0.03610641891891896,0.10969172297297293,0.1540329391891893,0.06028293918918919,0.04286317567567571,0.14257812499999992,0.2500527871621622,0.07501055743243236,0.061813766891891976,0.06756756756756756
